packet_count,avg_packet_size,std_packet_size,min_packet_size,max_packet_size,flow_duration,avg_time_diff,packet_rate,burst_rate,size_variation,max_time_diff,min_time_diff,time_variation,idle_time,label
50,1334.0,0.0,1334,1334,0.0431208610534668,0.0008800175725197306,1159.504686915182,0.9795918367346939,0.0,0.014476776123046875,0.0,0.002039904282369816,0.014476776123046875,0
50,1316.46,122.78,457,1334,0.0679330825805664,0.0013863894404197226,736.0075841268999,0.9795918367346939,0.09326527194653443,0.03521919250488281,0.0,0.004919673609414749,0.03521919250488281,0
50,67.04,89.58146236805916,54,694,0.3407459259033203,0.006953998487822863,146.73646685865168,0.5306122448979592,1.336238977204955,0.06329536437988281,0.0,0.009475650601718648,0.06329536437988281,0
50,1312.22,152.46,245,1334,0.03703594207763672,0.000755835552604831,1350.003461279016,1.0,0.11618478599915807,0.0022847652435302734,0.0,0.0005898186196096699,0.0022847652435302734,0
50,1334.0,0.0,1334,1334,0.02628612518310547,0.0005364515343490912,1902.0718184936636,1.0,0.0,0.0014181137084960938,0.0,0.0005302819926462298,0.0014181137084960938,0
50,1334.0,0.0,1334,1334,0.024519681930541992,0.0005004016720518774,2039.095003215305,1.0,0.0,0.0014085769653320312,0.0,0.0005115180426224646,0.0014085769653320312,0
50,1334.0,0.0,1334,1334,0.02684783935546875,0.0005479150888871173,1862.2778935811118,1.0,0.0,0.001453399658203125,0.0,0.0005442292317872779,0.001453399658203125,0
50,1334.0,0.0,1334,1334,0.02928781509399414,0.0005977105121223293,1707.1363194290786,1.0,0.0,0.0014376640319824219,0.0,0.0005245991979452918,0.0014376640319824219,0
50,1298.76,177.44177185769985,248,1334,0.031142711639404297,0.0006355655436613122,1605.4605365899276,1.0,0.13662398882093368,0.0015017986297607422,0.0,0.0005106497019387559,0.0015017986297607422,0
50,1293.18,198.90265860465513,77,1334,0.026983261108398438,0.0005506787981305804,1852.9319664950272,1.0,0.15380895037879194,0.0020225048065185547,0.0,0.0005678642473533921,0.0020225048065185547,0
50,106.42,217.41537112173094,54,1354,0.19762158393859863,0.004033093549767319,253.00752071704014,0.6530612244897959,2.0429935075994874,0.009449005126953125,0.0,0.0022289313108062887,0.009449005126953125,0
50,1323.04,76.72000000000001,786,1334,0.025321245193481445,0.0005167601059894172,1974.5484501062804,1.0,0.05798766472821105,0.001420736312866211,0.0,0.0005338113177508519,0.001420736312866211,0
50,1323.04,76.72000000000001,786,1334,0.018696069717407227,0.00038155244321239236,2674.2158400067,1.0,0.05798766472821105,0.0014030933380126953,0.0,0.0005039463937768599,0.0014030933380126953,0
50,1334.0,0.0,1334,1334,0.019104957580566406,0.00038989709348094705,2616.984769758801,1.0,0.0,0.002225160598754883,0.0,0.000562293036348013,0.002225160598754883,0
50,1308.4,179.20000000000002,54,1334,0.023146390914916992,0.0004723753247942243,2160.07066125877,1.0,0.13696117384824122,0.0012722015380859375,0.0,0.0005256320899189781,0.0012722015380859375,0
50,1334.0,0.0,1334,1334,0.03377676010131836,0.0006893216347207829,1480.2639325408816,1.0,0.0,0.0020029544830322266,0.0,0.0006052087953038598,0.0020029544830322266,0
50,1334.0,0.0,1334,1334,0.031477928161621094,0.0006424066971759407,1588.3641191112624,1.0,0.0,0.0019991397857666016,0.0,0.0005846121568200368,0.0019991397857666016,0
50,1334.0,0.0,1334,1334,0.030291080474853516,0.000618185315813337,1650.596433662148,1.0,0.0,0.0019991397857666016,0.0,0.0005725009468656061,0.0019991397857666016,0
50,1334.0,0.0,1334,1334,0.032996416091918945,0.0006733962467738561,1515.2701611761952,1.0,0.0,0.001003265380859375,0.0,0.00046889449736025994,0.001003265380859375,0
50,1334.0,0.0,1334,1334,0.03231620788574219,0.0006595144466477997,1547.1633619084762,1.0,0.0,0.0013952255249023438,0.0,0.00047986506297582947,0.0013952255249023438,0
50,54.24,1.6800000000000002,54,66,0.2537269592285156,0.0051781012087452165,197.06145176916976,0.5306122448979592,0.030973450756389187,0.0200045108795166,0.0009968280792236328,0.003765097542972598,0.0200045108795166,0
50,1187.78,397.0042463248976,54,1334,0.01817488670349121,0.00037091605517329003,2750.897428866347,1.0,0.3342405546403013,0.0014655590057373047,0.0,0.0005240604439637412,0.0014655590057373047,0
50,1235.76,333.5511690880426,54,1334,0.5739483833312988,0.01171323231288365,87.11569600404758,0.9183673469387755,0.26991581603072345,0.26658010482788086,0.0,0.052247365611965996,0.26658010482788086,0
